postId	champ	balise	hote	url
1188	corpsHtml	img	www.warnerclassicsandjazz.com	http://www.warnerclassicsandjazz.com/assets/news/images/glazunov_47.jpg
119	corpsHtml	img	operacritiques.free.fr	http://operacritiques.free.fr/stigmatesopera.jpg
1190	corpsHtml	object	operacritiques.free.fr	http://operacritiques.free.fr/css/dewplayer.swf?son=http://operacritiques.free.fr/css/sons/toutestfini.mp3
1193	corpsHtml	object	operacritiques.free.fr	http://operacritiques.free.fr/css/dewplayer.swf?son=http://operacritiques.free.fr/css/sons/freischuetz_ouverture.mp3
1193	corpsHtml	object	operacritiques.free.fr	http://operacritiques.free.fr/css/dewplayer.swf?son=http://operacritiques.free.fr/css/sons/oberon_ouverture.mp3
1193	corpsHtml	object	operacritiques.free.fr	http://operacritiques.free.fr/css/dewplayer.swf?son=http://operacritiques.free.fr/css/sons/vampyr_ouverture.mp3
1193	corpsHtml	object	operacritiques.free.fr	http://operacritiques.free.fr/css/dewplayer.swf?son=http://operacritiques.free.fr/css/sons/feen_ouverture.mp3
1193	corpsHtml	object	operacritiques.free.fr	http://operacritiques.free.fr/css/dewplayer.swf?son=http://operacritiques.free.fr/css/sons/hollaender_ouverture.mp3
1193	corpsHtml	lien	operacritiques.free.fr	http://operacritiques.free.fr/css/sons/vampyr_ouverture.mp3
1193	chapoHtml	object	operacritiques.free.fr	http://operacritiques.free.fr/css/dewplayer.swf?son=http://operacritiques.free.fr/css/sons/cabalette_florinda.mp3
1193	chapoHtml	object	operacritiques.free.fr	http://operacritiques.free.fr/css/dewplayer.swf?son=http://operacritiques.free.fr/css/sons/ponctuation_gernot.mp3
1193	chapoHtml	object	operacritiques.free.fr	http://operacritiques.free.fr/css/dewplayer.swf?son=http://operacritiques.free.fr/css/sons/vampyr_ponctuation.mp3
1193	chapoHtml	lien	operacritiques.free.fr	http://operacritiques.free.fr/css/sons/vampyr_ponctuation.mp3
1194	corpsHtml	audio	operacritiques.free.fr	http://operacritiques.free.fr/css/sons/prononciation_delunsch.mp3
1194	corpsHtml	audio	operacritiques.free.fr	http://operacritiques.free.fr/css/sons/prononciation_netrebko.mp3
1194	corpsHtml	audio	operacritiques.free.fr	http://operacritiques.free.fr/css/sons/prononciation_keenlyside.mp3
1194	corpsHtml	audio	operacritiques.free.fr	http://operacritiques.free.fr/css/sons/prononciation_christoff.mp3
1194	corpsHtml	audio	operacritiques.free.fr	http://operacritiques.free.fr/css/sons/prononciation_addis.mp3
1194	corpsHtml	audio	operacritiques.free.fr	http://operacritiques.free.fr/css/sons/prononciation_allen.mp3
1194	corpsHtml	audio	operacritiques.free.fr	http://operacritiques.free.fr/css/sons/prononciation_hendricks.mp3
1194	corpsHtml	audio	operacritiques.free.fr	http://operacritiques.free.fr/css/sons/prononciation_burden.mp3
1194	chapoHtml	audio	operacritiques.free.fr	http://operacritiques.free.fr/css/sons/prononciation_panzera.mp3
1194	chapoHtml	audio	operacritiques.free.fr	http://operacritiques.free.fr/css/sons/prononciation_hunt-lieberson.mp3
1194	chapoHtml	audio	operacritiques.free.fr	http://operacritiques.free.fr/css/sons/prononciation_sutherland.mp3
1194	notesHtml	object	operacritiques.free.fr	http://operacritiques.free.fr/css/dewplayer.swf?son=http://operacritiques.free.fr/css/sons/prononciation_panzera.mp3
1194	notesHtml	object	operacritiques.free.fr	http://operacritiques.free.fr/css/dewplayer.swf?son=http://operacritiques.free.fr/css/sons/prononciation_hunt-lieberson.mp3
1194	notesHtml	object	operacritiques.free.fr	http://operacritiques.free.fr/css/dewplayer.swf?son=http://operacritiques.free.fr/css/sons/prononciation_sutherland.mp3
1194	notesHtml	object	operacritiques.free.fr	http://operacritiques.free.fr/css/dewplayer.swf?son=http://operacritiques.free.fr/css/sons/prononciation_delunsch.mp3
1194	notesHtml	object	operacritiques.free.fr	http://operacritiques.free.fr/css/dewplayer.swf?son=http://operacritiques.free.fr/css/sons/prononciation_netrebko.mp3
1194	notesHtml	object	operacritiques.free.fr	http://operacritiques.free.fr/css/dewplayer.swf?son=http://operacritiques.free.fr/css/sons/prononciation_keenlyside.mp3
1194	notesHtml	object	operacritiques.free.fr	http://operacritiques.free.fr/css/dewplayer.swf?son=http://operacritiques.free.fr/css/sons/prononciation_christoff.mp3
1194	notesHtml	object	operacritiques.free.fr	http://operacritiques.free.fr/css/dewplayer.swf?son=http://operacritiques.free.fr/css/sons/prononciation_addis.mp3
1194	notesHtml	object	operacritiques.free.fr	http://operacritiques.free.fr/css/dewplayer.swf?son=http://operacritiques.free.fr/css/sons/prononciation_allen.mp3
1194	notesHtml	object	operacritiques.free.fr	http://operacritiques.free.fr/css/dewplayer.swf?son=http://operacritiques.free.fr/css/sons/prononciation_hendricks.mp3
